Column,Description,Source
Time Stamp,Measurement timestamp,Raw
Step,Battery test step identifier,Raw
Status,Battery/test status,Raw
Prog Time,Program elapsed time,Raw
Step Time,Step elapsed time,Raw
Cycle,Cycle number,Raw
Cycle Level,Cycle level information,Raw
Procedure,Test procedure,Raw
Voltage,Battery voltage,Raw
Current,Battery current,Raw
Temperature,Battery temperature,Raw
Capacity,Measured capacity,Raw
WhAccu,Accumulated energy,Raw
Cnt,Counter/index field,Raw
Power,Derived electrical power,Derived
