File,Voltage_Below_2.8V,Voltage_Above_4.2V,Current_Below_-6A,Current_Above_3A,Temperature_Below_-20C,Temperature_Above_40C
585_C20DisCh.csv,1,0,0,0,0,0
585_Dis_0p5C.csv,1,0,0,1,0,0
585_Dis_2C.csv,1,0,0,0,0,0
585_HPPC.csv,6,4,1677,53,0,0
589_Cap_1C.csv,2,0,0,0,0,0
589_Charge1.csv,0,0,0,0,0,0
589_Charge2.csv,0,0,0,3,0,0
589_Charge3.csv,0,0,0,0,0,0
589_Charge4.csv,0,0,0,0,0,0
589_Charge5.csv,0,0,0,0,0,0
589_Charge6.csv,0,0,0,3,0,0
589_Charge7.csv,0,0,0,0,0,0
589_Charge8.csv,0,0,0,1,0,0
589_HWFET.csv,0,3,119,8,0,0
589_LA92.csv,12,10,2905,114,0,0
589_Mixed1.csv,190,22,2548,105,0,0
589_Mixed2.csv,0,27,2530,62,0,0
589_UDDS.csv,0,10,869,70,0,0
589_US06.csv,402,2,5967,107,0,0
590_Charge10.csv,0,0,0,0,0,0
590_Charge11.csv,0,0,0,0,0,0
590_Charge12.csv,0,0,0,3,0,0
590_Charge13.csv,0,0,0,1,0,0
590_Charge14.csv,0,0,0,1,0,0
590_Charge15.csv,0,0,0,0,0,0
590_Charge16.csv,1,0,0,0,0,0
590_Mixed4.csv,323,2,3067,135,0,0
590_Mixed5.csv,117,16,2451,131,0,0
590_Mixed6.csv,167,19,3330,113,0,0
590_Mixed7.csv,263,0,3302,83,0,0
590_Mixed8.csv,58,12,2846,83,0,0
590_PausCycl.csv,0,16,112,7,0,0
567_Charge6.csv,0,0,0,1,0,0
567_Charge7.csv,0,0,0,2,0,0
567_Charge8.csv,0,0,0,3,0,0
567_Mixed1.csv,99,9,3171,2708,0,0
567_Mixed2.csv,171,21,2694,2871,0,0
567_US06.csv,50,8,6504,3445,0,0
571_Cap_1C.csv,2,0,0,0,0,0
571_Charge10.csv,0,0,0,2,0,0
571_Charge11.csv,0,0,0,3,0,0
571_Charge12.csv,0,0,0,3,0,0
571_Charge13.csv,0,0,0,1,0,0
571_Charge14.csv,0,0,0,1,0,0
571_Charge15.csv,0,0,0,2,0,0
571_Charge16.csv,0,0,0,0,0,0
571_Mixed4.csv,3,4,3158,2833,0,0
571_Mixed5.csv,10,13,2790,2537,0,0
571_Mixed6.csv,0,14,3064,2769,0,0
571_Mixed7.csv,0,0,3120,3001,0,0
571_Mixed8.csv,0,23,2536,2841,0,0
571_PausCycl.csv,0,10,92,208,0,0
575_C20DisCh.csv,1,0,0,0,0,0
575_Dis_0p5C.csv,1,0,0,0,0,0
575_Dis_2C.csv,1,0,0,0,0,0
575_HPPC.csv,5,6,1929,1936,0,0
576_Cap_1C.csv,2,0,0,0,0,0
576_Charge1.csv,0,0,0,0,0,0
576_Charge2.csv,0,0,0,0,0,0
576_Charge3.csv,0,0,0,1,0,0
576_Charge4.csv,0,0,0,0,0,0
576_HWFET.csv,0,0,102,735,0,0
576_UDDS.csv,0,6,870,2628,0,0
582_LA92.csv,0,19,3154,4334,0,0
549_C20DisCh.csv,1,1,0,0,0,0
549_Charge.csv,0,0,0,5,0,0
549_Dis_0p5C.csv,1,0,0,0,0,0
549_Dis_2C.csv,1,0,0,0,0,0
549_HPPC.csv,7,4,2058,2329,0,0
551_Cap_1C.csv,2,0,0,0,0,0
551_Charge1.csv,0,0,0,0,0,0
551_Charge2.csv,0,0,0,1,0,0
551_Charge3.csv,0,0,0,1,0,0
551_Charge4.csv,0,0,0,0,0,0
551_Charge5.csv,0,0,0,1,0,0
551_Charge6.csv,0,0,0,1,0,0
551_Charge7.csv,0,0,0,8,0,0
551_Charge8.csv,0,0,0,6,0,0
551_HWFET.csv,0,0,0,0,0,0
551_LA92.csv,0,14,3119,4791,0,0
551_Mixed1.csv,0,6,3140,2944,0,0
551_Mixed2.csv,48,15,2950,2989,0,0
551_UDDS.csv,0,0,814,2873,0,0
551_US06.csv,6,7,6650,3525,0,0
552_Cap_1C.csv,2,0,0,0,0,0
552_Charge10.csv,0,0,0,2,0,0
552_Charge11.csv,0,0,0,4,0,0
552_Charge12.csv,0,0,0,5,0,0
552_Charge13.csv,0,0,0,4,0,0
552_Charge14.csv,0,0,0,7,0,0
552_Charge15.csv,0,0,0,1,0,0
552_Charge16.csv,1,0,0,0,0,0
552_Charge9.csv,0,0,0,3,0,0
552_Mixed3.csv,0,9,3434,3336,0,0
