File,Column,Minimum,Maximum
585_C20DisCh.csv,Voltage,2.79993,4.19995
585_C20DisCh.csv,Current,-0.15325,0.15069
585_C20DisCh.csv,Temperature,-3.36507,1.2619
585_C20DisCh.csv,Capacity,-2.59862,0.08825
585_C20DisCh.csv,WhAccu,-9.67428,0.53227
585_C20DisCh.csv,Cnt,13.0,13.0
585_C20DisCh.csv,Power,-0.6379383725,0.6317482353
585_Dis_0p5C.csv,Voltage,2.79993,4.19995
585_Dis_0p5C.csv,Current,-1.49925,3.00108
585_Dis_0p5C.csv,Temperature,-0.73611,25.02773
585_Dis_0p5C.csv,Capacity,-2.4116,2.5375
585_Dis_0p5C.csv,WhAccu,-8.44622,9.94823
585_Dis_0p5C.csv,Cnt,14.0,15.0
585_Dis_0p5C.csv,Power,-5.987494755,12.562341435
585_Dis_2C.csv,Voltage,2.79993,4.19995
585_Dis_2C.csv,Current,-5.99956,2.99853
585_Dis_2C.csv,Temperature,-0.63095,25.02773
585_Dis_2C.csv,Capacity,-2.3645,2.37414
585_Dis_2C.csv,WhAccu,-7.89395,9.37229
585_Dis_2C.csv,Cnt,16.0,18.0
585_Dis_2C.csv,Power,-22.191472506,12.578533496999999
585_HPPC.csv,Voltage,2.79336,4.20012
585_HPPC.csv,Current,-18.00122,3.00364
585_HPPC.csv,Temperature,-1.36706,25.02773
585_HPPC.csv,Capacity,-2.54624,2.57636
585_HPPC.csv,WhAccu,-8.82341,10.08455
585_HPPC.csv,Cnt,12.0,13.0
585_HPPC.csv,Power,-63.0580936478,12.592686558600002
589_Cap_1C.csv,Voltage,2.79993,4.19169
589_Cap_1C.csv,Current,-3.00106,0.0
589_Cap_1C.csv,Temperature,-0.63095,2.20833
589_Cap_1C.csv,Capacity,-2.47337,0.0
589_Cap_1C.csv,WhAccu,-8.59067,0.0
589_Cap_1C.csv,Cnt,1.0,1.0
589_Cap_1C.csv,Power,-11.7338144834,0.0
589_Charge1.csv,Voltage,4.18478,4.19979
589_Charge1.csv,Current,0.0,0.189
589_Charge1.csv,Temperature,-0.73611,23.97615
589_Charge1.csv,Capacity,0.0,0.01126
589_Charge1.csv,WhAccu,0.0,0.04731
589_Charge1.csv,Cnt,1.0,2.0
589_Charge1.csv,Power,0.0,0.79376031
589_Charge2.csv,Voltage,3.24756,4.19995
589_Charge2.csv,Current,0.0,3.00108
589_Charge2.csv,Temperature,-0.63095,25.13289
589_Charge2.csv,Capacity,0.0,2.47614
589_Charge2.csv,WhAccu,0.0,9.73386
589_Charge2.csv,Cnt,1.0,2.0
589_Charge2.csv,Power,0.0,12.5775139968
589_Charge3.csv,Voltage,3.34938,4.19995
589_Charge3.csv,Current,0.0,2.99853
589_Charge3.csv,Temperature,-0.63095,25.13289
589_Charge3.csv,Capacity,0.0,2.38075
589_Charge3.csv,WhAccu,0.0,9.39486
589_Charge3.csv,Cnt,2.0,3.0
589_Charge3.csv,Power,0.0,12.572956231200001
589_Charge4.csv,Voltage,3.39371,4.19995
589_Charge4.csv,Current,0.0,2.99853
589_Charge4.csv,Temperature,-0.73611,24.92257
589_Charge4.csv,Capacity,0.0,2.36255
589_Charge4.csv,WhAccu,0.0,9.32884
589_Charge4.csv,Cnt,3.0,4.0
589_Charge4.csv,Power,0.0,12.529507531500002
589_Charge5.csv,Voltage,3.35528,4.19995
589_Charge5.csv,Current,0.0,2.99853
589_Charge5.csv,Temperature,-0.73611,25.23805
589_Charge5.csv,Capacity,0.0,2.37113
589_Charge5.csv,WhAccu,0.0,9.35884
589_Charge5.csv,Cnt,4.0,5.0
589_Charge5.csv,Power,0.0,12.5851002777
589_Charge6.csv,Voltage,3.39051,4.19995
589_Charge6.csv,Current,0.0,3.00108
589_Charge6.csv,Temperature,-0.73611,25.02773
589_Charge6.csv,Capacity,0.0,2.3709
589_Charge6.csv,WhAccu,0.0,9.35801
589_Charge6.csv,Cnt,5.0,6.0
589_Charge6.csv,Power,0.0,12.5840807775
589_Charge7.csv,Voltage,3.37736,4.19995
589_Charge7.csv,Current,0.0,2.99853
589_Charge7.csv,Temperature,-0.73611,25.02773
589_Charge7.csv,Capacity,0.0,2.36642
589_Charge7.csv,WhAccu,0.0,9.34108
589_Charge7.csv,Cnt,6.0,7.0
589_Charge7.csv,Power,0.0,12.589658043300002
589_Charge8.csv,Voltage,3.35578,4.19995
589_Charge8.csv,Current,0.0,3.00108
589_Charge8.csv,Temperature,-0.94643,24.92257
589_Charge8.csv,Capacity,0.0,2.36576
589_Charge8.csv,WhAccu,0.0,9.338
589_Charge8.csv,Cnt,7.0,8.0
589_Charge8.csv,Power,0.0,12.5916670584
589_HWFET.csv,Voltage,2.93663,4.20113
589_HWFET.csv,Current,-7.3098,3.00108
589_HWFET.csv,Temperature,-0.73611,1.57738
589_HWFET.csv,Capacity,-2.34978,-0.0
589_HWFET.csv,WhAccu,-8.31747,-0.0
589_HWFET.csv,Cnt,3.0,3.0
589_HWFET.csv,Power,-22.5224082938,12.4137342882
589_LA92.csv,Voltage,2.79976,4.20164
589_LA92.csv,Current,-13.56732,3.05217
589_LA92.csv,Temperature,-0.73611,1.47222
589_LA92.csv,Capacity,-2.34988,-0.0
589_LA92.csv,WhAccu,-8.11747,-0.0
589_LA92.csv,Cnt,4.0,4.0
589_LA92.csv,Power,-38.783176538,12.5921768085
589_Mixed1.csv,Voltage,2.79858,4.20164
589_Mixed1.csv,Current,-15.83535,3.07004
589_Mixed1.csv,Temperature,-0.73611,2.94444
589_Mixed1.csv,Capacity,-2.34975,-0.0
589_Mixed1.csv,WhAccu,-8.13481,-0.0
589_Mixed1.csv,Cnt,6.0,6.0
589_Mixed1.csv,Power,-50.8452502545,12.588128793000001
589_Mixed2.csv,Voltage,2.87544,4.20215
589_Mixed2.csv,Current,-17.05876,3.04706
589_Mixed2.csv,Temperature,-0.63095,2.31349
589_Mixed2.csv,Capacity,-2.34979,0.0002
589_Mixed2.csv,WhAccu,-8.13989,0.00084
589_Mixed2.csv,Cnt,7.0,7.0
589_Mixed2.csv,Power,-50.8083225468,12.5987399232
589_UDDS.csv,Voltage,2.98905,4.20181
589_UDDS.csv,Current,-9.12065,3.00108
589_UDDS.csv,Temperature,-0.73611,0.42063
589_UDDS.csv,Capacity,-2.34974,-0.0
589_UDDS.csv,WhAccu,-8.32852,-1e-05
589_UDDS.csv,Cnt,2.0,2.0
589_UDDS.csv,Power,-27.3674135064,12.591157308300001
589_US06.csv,Voltage,2.7947,4.20012
589_US06.csv,Current,-17.61045,3.05983
589_US06.csv,Temperature,-0.63095,3.89087
589_US06.csv,Capacity,-2.34982,-0.0
589_US06.csv,WhAccu,-7.79154,-0.0
589_US06.csv,Cnt,5.0,5.0
589_US06.csv,Power,-50.8463816652,12.590647558200002
590_Charge10.csv,Voltage,3.24369,4.19995
590_Charge10.csv,Current,0.0,2.99853
590_Charge10.csv,Temperature,-0.73611,25.13289
590_Charge10.csv,Capacity,0.0,2.46155
590_Charge10.csv,WhAccu,0.0,9.68098
590_Charge10.csv,Cnt,1.0,2.0
590_Charge10.csv,Power,0.0,12.533525561700001
590_Charge11.csv,Voltage,3.41158,4.19995
590_Charge11.csv,Current,0.0,2.99853
590_Charge11.csv,Temperature,-0.63095,25.13289
590_Charge11.csv,Capacity,0.0,2.34513
590_Charge11.csv,WhAccu,0.0,9.26562
590_Charge11.csv,Cnt,2.0,3.0
590_Charge11.csv,Power,0.0,12.5532558891
590_Charge12.csv,Voltage,3.39219,4.19995
590_Charge12.csv,Current,0.0,3.00108
590_Charge12.csv,Temperature,-0.84127,25.13289
590_Charge12.csv,Capacity,0.0,2.34284
590_Charge12.csv,WhAccu,0.0,9.25621
590_Charge12.csv,Cnt,3.0,4.0
590_Charge12.csv,Power,0.0,12.5562844044
590_Charge13.csv,Voltage,3.38494,4.19995
590_Charge13.csv,Current,0.0,3.00108
590_Charge13.csv,Temperature,-0.63095,25.13289
590_Charge13.csv,Capacity,0.0,2.34598
590_Charge13.csv,WhAccu,0.0,9.26673
590_Charge13.csv,Cnt,4.0,5.0
590_Charge13.csv,Power,0.0,12.562911020400001
590_Charge14.csv,Voltage,3.38225,4.19995
590_Charge14.csv,Current,0.0,3.00108
590_Charge14.csv,Temperature,-0.73611,25.13289
590_Charge14.csv,Capacity,0.0,2.34336
590_Charge14.csv,WhAccu,0.0,9.2567
590_Charge14.csv,Cnt,5.0,6.0
590_Charge14.csv,Power,0.0,12.555264904200001
590_Charge15.csv,Voltage,3.36151,4.19995
590_Charge15.csv,Current,0.0,2.99853
590_Charge15.csv,Temperature,-0.52579,25.13289
590_Charge15.csv,Capacity,0.0,2.34717
590_Charge15.csv,WhAccu,0.0,9.26999
590_Charge15.csv,Cnt,6.0,7.0
590_Charge15.csv,Power,0.0,12.5517266388
590_Charge16.csv,Voltage,0.0,4.19995
590_Charge16.csv,Current,0.0,2.99853
590_Charge16.csv,Temperature,-0.63095,24.50194
590_Charge16.csv,Capacity,0.0,0.37897
590_Charge16.csv,WhAccu,0.0,1.58957
590_Charge16.csv,Cnt,7.0,8.0
590_Charge16.csv,Power,0.0,12.5780237469
590_Mixed4.csv,Voltage,2.79268,4.20029
590_Mixed4.csv,Current,-17.58235,3.0445
590_Mixed4.csv,Temperature,-0.63095,3.47023
590_Mixed4.csv,Capacity,-2.32761,-3e-05
590_Mixed4.csv,WhAccu,-8.01676,-0.00014
590_Mixed4.csv,Cnt,2.0,2.0
590_Mixed4.csv,Power,-50.85121264719999,12.5921768085
590_Mixed5.csv,Voltage,2.79942,4.204
590_Mixed5.csv,Current,-16.19037,3.05472
590_Mixed5.csv,Temperature,-0.63095,2.10317
590_Mixed5.csv,Capacity,-2.32759,-0.0
590_Mixed5.csv,WhAccu,-8.06105,-0.0
590_Mixed5.csv,Cnt,3.0,3.0
590_Mixed5.csv,Power,-50.83079994090001,12.6013548552
590_Mixed6.csv,Voltage,2.79892,4.20248
590_Mixed6.csv,Current,-17.10729,3.00875
590_Mixed6.csv,Temperature,-0.84127,3.78571
590_Mixed6.csv,Capacity,-2.32761,-0.0
590_Mixed6.csv,WhAccu,-7.9615,-0.0
590_Mixed6.csv,Cnt,4.0,4.0
590_Mixed6.csv,Power,-50.8482504801,12.5865995427
590_Mixed7.csv,Voltage,2.79807,4.19995
590_Mixed7.csv,Current,-16.71141,3.05472
590_Mixed7.csv,Temperature,-0.52579,3.25991
590_Mixed7.csv,Capacity,-2.32774,-0.0
590_Mixed7.csv,WhAccu,-7.97712,-0.0
590_Mixed7.csv,Cnt,5.0,5.0
590_Mixed7.csv,Power,-50.8491037548,12.483276544699999
590_Mixed8.csv,Voltage,2.79959,4.20147
590_Mixed8.csv,Current,-17.99867,3.05472
590_Mixed8.csv,Temperature,-0.73611,2.94444
590_Mixed8.csv,Capacity,-2.32759,-4e-05
590_Mixed8.csv,WhAccu,-8.0188,-0.00015
590_Mixed8.csv,Cnt,6.0,6.0
590_Mixed8.csv,Power,-50.7583288836,12.640186982400001
590_PausCycl.csv,Voltage,3.64576,4.20467
590_PausCycl.csv,Current,-7.49881,3.00108
590_PausCycl.csv,Temperature,-0.63095,0.21032
590_PausCycl.csv,Capacity,-0.36756,-0.0
590_PausCycl.csv,WhAccu,-1.40877,-0.0
590_PausCycl.csv,Cnt,7.0,7.0
590_PausCycl.csv,Power,-27.3666982974,12.5921768085
567_Charge6.csv,Voltage,3.24099,4.19995
567_Charge6.csv,Current,0.0,3.00108
567_Charge6.csv,Temperature,8.93848,25.02773
567_Charge6.csv,Capacity,0.0,2.50266
567_Charge6.csv,WhAccu,0.0,9.8293
567_Charge6.csv,Cnt,6.0,7.0
567_Charge6.csv,Power,0.0,12.5375735772
567_Charge7.csv,Voltage,3.23593,4.19995
567_Charge7.csv,Current,0.0,3.00108
567_Charge7.csv,Temperature,8.83332,24.92257
567_Charge7.csv,Capacity,0.0,2.49771
567_Charge7.csv,WhAccu,0.0,9.81195
567_Charge7.csv,Cnt,7.0,8.0
567_Charge7.csv,Power,0.0,12.5456696082
567_Charge8.csv,Voltage,3.23694,4.19995
567_Charge8.csv,Current,0.0,3.00108
567_Charge8.csv,Temperature,9.04363,25.02773
567_Charge8.csv,Capacity,0.0,2.49921
567_Charge8.csv,WhAccu,0.0,9.81692
567_Charge8.csv,Cnt,8.0,9.0
567_Charge8.csv,Power,0.0,12.543660593100002
567_Mixed1.csv,Voltage,2.79689,4.20181
567_Mixed1.csv,Current,-16.41769,6.00472
567_Mixed1.csv,Temperature,8.83332,12.61902
567_Mixed1.csv,Capacity,-2.47964,-0.0
567_Mixed1.csv,WhAccu,-8.6799,-0.0
567_Mixed1.csv,Cnt,7.0,7.0
567_Mixed1.csv,Power,-50.8636400302,25.03472697
567_Mixed2.csv,Voltage,2.79605,4.20383
567_Mixed2.csv,Current,-15.48289,6.00217
567_Mixed2.csv,Temperature,8.93848,11.6726
567_Mixed2.csv,Capacity,-2.47958,0.00052
567_Mixed2.csv,WhAccu,-8.72294,0.0022
567_Mixed2.csv,Cnt,8.0,8.0
567_Mixed2.csv,Power,-50.8541715206,25.1833341168
567_US06.csv,Voltage,2.79959,4.20501
567_US06.csv,Current,-18.07018,5.99961
567_US06.csv,Temperature,9.14879,12.40871
567_US06.csv,Capacity,-2.47956,-0.0
567_US06.csv,WhAccu,-8.41551,-0.0
567_US06.csv,Cnt,6.0,6.0
567_US06.csv,Power,-50.866153392399994,25.147951462800002
571_Cap_1C.csv,Voltage,2.79993,4.18748
571_Cap_1C.csv,Current,-3.00106,0.0
571_Cap_1C.csv,Temperature,-0.42063,9.14879
571_Cap_1C.csv,Capacity,-2.48507,0.0
571_Cap_1C.csv,WhAccu,-8.65449,0.0
571_Cap_1C.csv,Cnt,1.0,1.0
571_Cap_1C.csv,Power,-11.998257870000002,0.0
571_Charge10.csv,Voltage,3.24891,4.19995
571_Charge10.csv,Current,0.0,3.00108
571_Charge10.csv,Temperature,1.05159,25.02773
571_Charge10.csv,Capacity,0.0,2.49754
571_Charge10.csv,WhAccu,0.0,9.81099
571_Charge10.csv,Cnt,1.0,2.0
571_Charge10.csv,Power,0.0,12.5451598581
571_Charge11.csv,Voltage,3.37972,4.19995
571_Charge11.csv,Current,0.0,3.00108
571_Charge11.csv,Temperature,8.93848,25.02773
571_Charge11.csv,Capacity,0.0,2.38204
571_Charge11.csv,WhAccu,0.0,9.39967
571_Charge11.csv,Cnt,2.0,3.0
571_Charge11.csv,Power,0.0,12.565879700400002
571_Charge12.csv,Voltage,3.3836,4.19995
571_Charge12.csv,Current,0.0,3.00108
571_Charge12.csv,Temperature,9.04363,24.92257
571_Charge12.csv,Capacity,0.0,2.38171
571_Charge12.csv,WhAccu,0.0,9.39811
571_Charge12.csv,Cnt,3.0,4.0
571_Charge12.csv,Power,0.0,12.5668992006
571_Charge13.csv,Voltage,3.34432,4.19995
571_Charge13.csv,Current,0.0,3.00108
571_Charge13.csv,Temperature,8.83332,25.02773
571_Charge13.csv,Capacity,0.0,2.39281
571_Charge13.csv,WhAccu,0.0,9.43717
571_Charge13.csv,Cnt,4.0,5.0
571_Charge13.csv,Power,0.0,12.552746139000002
571_Charge14.csv,Voltage,3.3482,4.19995
571_Charge14.csv,Current,0.0,3.00108
571_Charge14.csv,Temperature,8.83332,25.13289
571_Charge14.csv,Capacity,0.0,2.38568
571_Charge14.csv,WhAccu,0.0,9.41096
571_Charge14.csv,Cnt,5.0,6.0
571_Charge14.csv,Power,0.0,12.5633609352
571_Charge15.csv,Voltage,3.34702,4.19995
571_Charge15.csv,Current,0.0,3.00108
571_Charge15.csv,Temperature,8.93848,24.92257
571_Charge15.csv,Capacity,0.0,2.38496
571_Charge15.csv,WhAccu,0.0,9.40786
571_Charge15.csv,Cnt,6.0,7.0
571_Charge15.csv,Power,0.0,12.563870685300001
