File,Procedure,Rows
585_C20DisCh.csv,LG_HG2_NN_Char,2244
585_Dis_0p5C.csv,NN_Char_Charge,209
585_Dis_0p5C.csv,LG_HG2_NN_Char,101
585_Dis_2C.csv,NN_Char_Charge,205
585_Dis_2C.csv,LG_HG2_NN_Char,25
585_HPPC.csv,HPPC_4pulse,36023
585_HPPC.csv,HPPC_Multi_Pulse,3985
585_HPPC.csv,NN_Char_Charge,210
585_HPPC.csv,LG_HG2_NN_Char,1
589_Cap_1C.csv,LG_HG2_CyclesA,366
589_Charge1.csv,NN_Char_Charge,130
589_Charge1.csv,LG_HG2_CyclesA,1
589_Charge2.csv,NN_Char_Charge,207
589_Charge3.csv,NN_Char_Charge,206
589_Charge4.csv,NN_Char_Charge,205
589_Charge5.csv,NN_Char_Charge,206
589_Charge6.csv,NN_Char_Charge,205
589_Charge7.csv,NN_Char_Charge,206
589_Charge8.csv,NN_Char_Charge,205
589_Charge8.csv,LG_HG2_CyclesA,1
589_HWFET.csv,LG_HG2_CyclesA,49678
589_LA92.csv,LG_HG2_CyclesA,81577
589_Mixed1.csv,LG_HG2_CyclesA,67312
589_Mixed2.csv,LG_HG2_CyclesA,72303
589_UDDS.csv,LG_HG2_CyclesA,140435
589_US06.csv,LG_HG2_CyclesA,33806
590_Charge10.csv,NN_Char_Charge,208
590_Charge11.csv,NN_Char_Charge,205
590_Charge12.csv,NN_Char_Charge,205
590_Charge13.csv,NN_Char_Charge,205
590_Charge14.csv,NN_Char_Charge,205
590_Charge15.csv,NN_Char_Charge,205
590_Charge16.csv,NN_Char_Charge,152
590_Charge16.csv,LG_HG2_CyclesB,1
590_Mixed4.csv,LG_HG2_CyclesB,68027
590_Mixed5.csv,LG_HG2_CyclesB,64995
590_Mixed6.csv,LG_HG2_CyclesB,62483
590_Mixed7.csv,LG_HG2_CyclesB,61540
590_Mixed8.csv,LG_HG2_CyclesB,75838
590_PausCycl.csv,LG_HG2_CyclesB,26301
567_Charge6.csv,NN_Char_Charge,207
567_Charge7.csv,NN_Char_Charge,208
567_Charge8.csv,NN_Char_Charge,207
567_Charge8.csv,LG_HG2_CyclesA,1
567_Mixed1.csv,LG_HG2_CyclesA,72329
567_Mixed2.csv,LG_HG2_CyclesA,77752
567_US06.csv,LG_HG2_CyclesA,38718
571_Cap_1C.csv,LG_HG2_CyclesB,368
571_Charge10.csv,NN_Char_Charge,208
