File,Header_Line,Number_of_Columns,Columns
585_C20DisCh.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
585_Dis_0p5C.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
585_Dis_2C.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
585_HPPC.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Cap_1C.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge1.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge2.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge3.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge4.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge5.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge6.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge7.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Charge8.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_HWFET.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_LA92.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Mixed1.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_Mixed2.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_UDDS.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
589_US06.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge10.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge11.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge12.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge13.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge14.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge15.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Charge16.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Mixed4.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Mixed5.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Mixed6.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Mixed7.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_Mixed8.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
590_PausCycl.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_Charge6.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_Charge7.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_Charge8.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_Mixed1.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_Mixed2.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
567_US06.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Cap_1C.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge10.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge11.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge12.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge13.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge14.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge15.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Charge16.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Mixed4.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
571_Mixed5.csv,28,15,Time Stamp | Step | Status | Prog Time | Step Time | Cycle | Cycle Level | Procedure | Voltage | Current | Temperature | Capacity | WhAccu | Cnt | Unnamed: 14
