File,Unique_Timestamps,Repeated_Timestamp_Values
585_C20DisCh.csv,2242,2
585_Dis_0p5C.csv,307,3
585_Dis_2C.csv,226,3
585_HPPC.csv,11510,3260
589_Cap_1C.csv,364,2
589_Charge1.csv,128,3
589_Charge2.csv,204,3
589_Charge3.csv,203,3
589_Charge4.csv,202,3
589_Charge5.csv,203,3
589_Charge6.csv,202,3
589_Charge7.csv,203,3
589_Charge8.csv,202,3
589_HWFET.csv,4969,4969
589_LA92.csv,8162,8161
589_Mixed1.csv,6732,6732
589_Mixed2.csv,7231,7231
589_UDDS.csv,14045,14044
589_US06.csv,3382,3382
590_Charge10.csv,204,4
590_Charge11.csv,202,3
590_Charge12.csv,202,3
590_Charge13.csv,202,3
590_Charge14.csv,202,3
590_Charge15.csv,202,3
590_Charge16.csv,149,3
590_Mixed4.csv,6803,6803
590_Mixed5.csv,6500,6500
590_Mixed6.csv,6249,6249
590_Mixed7.csv,6154,6154
590_Mixed8.csv,7585,7585
590_PausCycl.csv,2631,2631
567_Charge6.csv,204,3
567_Charge7.csv,205,3
567_Charge8.csv,204,3
567_Mixed1.csv,7234,7234
567_Mixed2.csv,7776,7776
567_US06.csv,3872,3872
571_Cap_1C.csv,365,3
571_Charge10.csv,205,3
571_Charge11.csv,203,3
571_Charge12.csv,202,3
571_Charge13.csv,203,3
571_Charge14.csv,203,3
571_Charge15.csv,203,3
571_Charge16.csv,148,3
571_Mixed4.csv,7393,7393
571_Mixed5.csv,6718,6718
571_Mixed6.csv,7394,7394
571_Mixed7.csv,6933,6933
571_Mixed8.csv,8143,8143
571_PausCycl.csv,2784,2783
575_C20DisCh.csv,2335,2
575_Dis_0p5C.csv,315,3
575_Dis_2C.csv,232,3
575_HPPC.csv,12672,3583
576_Cap_1C.csv,372,3
576_Charge1.csv,127,3
576_Charge2.csv,206,3
576_Charge3.csv,203,3
576_Charge4.csv,203,3
576_HWFET.csv,5289,5289
576_UDDS.csv,14891,14891
582_LA92.csv,9063,9061
549_C20DisCh.csv,2421,2
549_Charge.csv,844,12
549_Dis_0p5C.csv,111,0
549_Dis_2C.csv,27,0
549_HPPC.csv,13588,3916
551_Cap_1C.csv,394,3
551_Charge1.csv,127,3
551_Charge2.csv,210,3
551_Charge3.csv,207,3
551_Charge4.csv,127,3
551_Charge5.csv,207,3
551_Charge6.csv,207,3
551_Charge7.csv,207,3
551_Charge8.csv,207,3
551_HWFET.csv,601,601
551_LA92.csv,10083,10082
551_Mixed1.csv,7724,7724
551_Mixed2.csv,7918,7918
551_UDDS.csv,15966,15966
551_US06.csv,4016,4016
552_Cap_1C.csv,390,3
552_Charge10.csv,206,3
552_Charge11.csv,206,3
552_Charge12.csv,206,3
552_Charge13.csv,206,3
552_Charge14.csv,206,3
552_Charge15.csv,206,3
552_Charge16.csv,124,3
552_Charge9.csv,210,3
552_Mixed3.csv,7384,7383
552_Mixed4.csv,8086,8086
552_Mixed5.csv,7219,7219
552_Mixed6.csv,7811,7811
552_Mixed7.csv,7325,7325
552_Mixed8.csv,8593,8593
552_PausCycl.csv,6312,6302
555_C20DisCh.csv,2340,2
555_Dis_0p5C.csv,315,3
555_Dis_2C.csv,234,3
555_HPPC.csv,12694,3615
556_Charge1.csv,128,3
556_Charge2.csv,209,3
556_Charge3.csv,206,3
556_Charge4.csv,206,3
556_Charge5.csv,206,3
556_Charge6.csv,206,3
556_Charge7.csv,206,3
556_Charge8.csv,206,3
556_HWFET.csv,5592,5591
556_LA92.csv,9870,9868
556_Mixed1.csv,7535,7535
556_Mixed2.csv,7896,7896
556_UDDS.csv,15897,15897
556_US06.csv,3997,3996
557_Cap_1C.csv,366,3
557_Charge10.csv,31,1
557_Charge9.csv,205,3
557_Mixed3.csv,6763,6763
562_Charge10.csv,430,2
562_Charge11.csv,141,3
562_Charge12.csv,140,3
562_Charge13.csv,141,3
562_Charge14.csv,140,3
562_Charge15.csv,141,3
562_Charge16.csv,131,3
562_Mixed4.csv,1133,1133
562_Mixed5.csv,1310,1310
562_Mixed6.csv,1177,1177
562_Mixed7.csv,786,786
562_Mixed8.csv,1439,1439
562_PausCycl.csv,793,793
593_C20DisCh.csv,2204,2
593_Dis_0p5C.csv,300,2
593_Dis_2C.csv,215,3
593_HPPC.csv,11601,3233
596_Cap_1C.csv,338,3
596_Charge1.csv,128,3
596_Charge2.csv,201,3
596_Charge3.csv,199,3
596_Charge4.csv,199,3
596_Charge5.csv,199,3
596_HWFET.csv,4491,4491
596_LA92.csv,7214,7212
596_UDDS.csv,12361,12360
601_Charge6.csv,198,3
601_Charge7.csv,198,3
601_Charge8.csv,198,3
601_Mixed1.csv,6263,6263
601_Mixed2.csv,6526,6526
601_US06.csv,3192,3192
602_Cap_1C.csv,334,3
602_Charge10.csv,200,3
602_Charge11.csv,199,3
602_Charge12.csv,198,3
602_Charge17.csv,127,4
602_Mixed4.csv,6154,6153
602_Mixed5.csv,6010,6010
604_Charge10.csv,199,3
604_Charge13.csv,198,3
604_Charge14.csv,198,3
604_Charge15.csv,198,3
604_Charge16.csv,149,3
604_Charge17.csv,136,4
604_Charge9.csv,201,3
604_Mixed3.csv,5523,5523
604_Mixed6.csv,5598,5598
604_Mixed7.csv,5595,5595
604_Mixed8.csv,6733,6733
604_PausCycl.csv,2216,2216
607_C20DisCh.csv,2148,2
607_Dis_0p5C.csv,280,3
607_Dis_2C.csv,195,3
607_HPPC.csv,10501,2899
610_Cap_1C.csv,267,3
610_Charge1.csv,127,3
610_Charge2.csv,190,3
610_Charge3.csv,187,3
610_Charge4.csv,187,3
610_Charge5.csv,187,3
610_Charge6.csv,188,3
610_Charge7.csv,188,3
610_Charge8.csv,188,3
610_HWFET.csv,3335,3335
610_LA92.csv,5252,5252
610_Mixed1.csv,4535,4535
610_Mixed2.csv,4305,4305
610_UDDS.csv,8192,8191
610_US06.csv,2761,2761
611_Cap_1C.csv,261,3
611_Charge10.csv,188,3
611_Charge11.csv,187,3
611_Charge12.csv,187,3
611_Charge13.csv,187,3
611_Charge14.csv,187,3
611_Charge15.csv,187,3
611_Charge17.csv,127,4
611_Charge9.csv,189,3
611_Mixed3.csv,4517,4516
611_Mixed4.csv,4606,4606
611_Mixed5.csv,4546,4546
611_Mixed6.csv,4420,4420
611_Mixed7.csv,4069,4069
611_Mixed8.csv,4677,4677
611_PausCycl.csv,1662,1662
